pos|word|fpsaPresent|fpsaPerfect|ppp|conjugation|definition
VERB|abire|abeo|abii|abitus|4|to go away, depart
VERB|accedere|accedo|accessi|accessus|3|to come near, approach
VERB|accommodare|accommodo|accommodavi|accommodatus|1|to adjust, adapt
VERB|accusare|accuso|accusavi|accusatus|1|to accuse
VERB|acquirere|acquiro|acquisivi|acquisitus|3|to acquire, gain
VERB|adire|adeo|adii|aditus|4|to go to, approach, visit
VERB|adiuvare|adiuvo|adiuvi|adiutus|1|to help, aid, assist; to please
VERB|admittere|admitto|admisi|admissus|3|to admit, receive
VERB|admonere|admoneo|admonui|admonitus|2|to advise, warn
VERB|agere|ago|egi|actus|3|to drive, lead, do, act; to pass, spend (life or time)
VERB|alere|alo|alui|altus|3|to nourish, support, sustain, increase, cherish
VERB|algere|algeo|alsi||2|to be cold, neglected
VERB|amare|amo|amavi|amatus|1|to love, like
VERB|ambulare|ambulo|ambulavi|ambulatus|1|to walk
VERB|amittere|amitto|amisi|amissus|3|to lose, let go
VERB|appellare|appello|appellavi|appellatus|1|to call, name
VERB|approbare|approbo|approbavi|approbatus|1|to approve
VERB|arare|aro|aravi|aratus|1|to plow
VERB|audere|audeo|||2|to dare
VERB|audire|audio|audivi|auditus|4|to hear, listen to
VERB|bibere|bibo|bibi||3|to drink
VERB|cadere|cado|cecidi|casus|3|to fall
VERB|cantare|canto|cantavi|cantatus|1|to sing
VERB|capere|capio|cepi|captus|3|to take, capture, seize, get
VERB|captare|capto|captavi|captatus|1|to grab, seek to get, hunt for
VERB|carere|careo|carui||2|to lack, want, be without, be deprived of, be free from
VERB|carpere|carpo|carpsi|carptus|3|to pluck, seize
VERB|cavere|caveo|cavi|cautus|2|to beware, avoid
VERB|cedere|cedo|cessi|cessus|3|to go, withdraw; to yield to, submit, grant
VERB|cenare|ceno|cenavi|cenatus|1|to dine
VERB|cernere|cerno|crevi|cretus|3|to distinguish, discern, perceive
VERB|claudere|claudo|clausi|clausus|3|to shut, close
VERB|cogere|cogo|coegi|coactus|3|to drive or bring together, force, compel
VERB|cogitare|cogito|cogitavi|cogitatus|1|to think, ponder, consider, plan
