pos|word|adjFeminine|adjNeuter|declension|definition
ADJ|absconditus|abscondita|absconditum|12|hidden, secret
ADJ|acer|acris|acre|3|keen, severe, fierce
ADJ|acerbus|acerba|acerbum|12|harsh, bitter, grievous
ADJ|adultus|adulta|adultum|12|grown up, mature, adult
ADJ|adversus|adversa|adversum|12|adverse
ADJ|aeternus|aeterna|aeternum|12|eternal
ADJ|alienus|aliena|alienum|12|belonging to another
ADJ|alter|altera|alterum|12|the other (of two), second
ADJ|altus|alta|altum|12|high, deep
ADJ|angustus|angusta|angustum|12|narrow, limited
ADJ|antiquus|antiqua|antiquum|12|ancient, old-time, of old
ADJ|aptus|apta|aptum|12|fit, suitable
ADJ|asper|aspera|asperum|12|rough, harsh
ADJ|ater|atra|atrum|12|dark
ADJ|aureus|aurea|aureum|12|golden
ADJ|avarus|avara|avarum|12|greedy, avaricious
ADJ|balbus|balba|balbum|12|stammering, stuttering
ADJ|beatus|beata|beatum|12|happy, fortunate
ADJ|bellicus|bellica|bellicum|12|relating to war, military
ADJ|bellus|bella|bellum|12|pretty, handsome, charming
ADJ|bonus|bona|bonum|12|good, kind
ADJ|brevis|brevis|breve|3|short, small, brief
ADJ|caecus|caeca|caecum|12|blind
ADJ|candidus|candida|candidum|12|shining, bright, white
ADJ|carus|cara|carum|12|dear
ADJ|celer|celeris|celere|3|quick, rapid
ADJ|certus|certa|certum|12|definite, sure, certain, reliable
ADJ|ceteri|ceterae|cetera|12|the remaining, the rest, the other
ADJ|clarus|clara|clarum|12|clear, bright; renowned, famous, illustrious
ADJ|communis|communis|commune|3|common, general
ADJ|conscius|conscia|conscium|12|conscious, aware of
ADJ|creber|crebra|crebrum|12|thick; frequent, numerous
ADJ|cupidus|cupida|cupidum|12|desirous, eager, fond
ADJ|curvus|curva|curvum|12|curved, crooked, wrong
ADJ|decimus|decima|decimum|12|tenth
ADJ|destinatus|destinata|destinatum|12|resolved, resolute, firm
ADJ|dexter|dextra|dextrum|12|right
ADJ|difficilis|difficilis|difficile|3|hard, difficult, troublesome
